company_name,company_legal_names,company_commercial_names,main_country_code,main_region,main_city_district,main_city,main_postcode,main_street,main_street_number,main_latitude,main_longitude,main_address_raw_text,locations,short_description,long_description,business_tags,product_type,main_industry,main_sector,primary_phone,phone_numbers,primary_email,emails,other_emails,website_url,website_domain,website_language_code,facebook_url,twitter_url,instagram_url,linkedin_url,ios_app_url,android_app_url,youtube_url,generated_description,generated_business_tags,domains,id
hotel healdsburg,,hotel healdsburg,us,california,,healdsburg,95448,matheson street,25,38.61027930306156,-122.87125495404783,"25 matheson st, healdsburg, california, 95448-4107, united states","us, united states, california, healdsburg, 95448, matheson street, 25, 38.61027930306156, -122.87125495404783","hotel healdsburg is a hotel based in healdsburg, california, united states.","hotel healdsburg is a california-based hospitality company that operates hotels offering services such as lodging, spa, dining, and event management.",event management,consumer services,accommodation,accommodation & food services,+17074312800,+17074312800,,,,,,,hotelhealdsburg,hotelhealdsburg,hotelhealdsburg/,,,,,"hotel healdsburg is a california-based hospitality company that specializes in operating hotels. they provide a range of services including lodging, spa treatments, dining options, and event management.",spa services | event organization services | h accommodation services | dining services,,8457
hotel healdsburg h2 hotel & harmon guest house,,hotel healdsburg h2 hotel & harmon guest house | hotel healdsburg,us,california,,larkspur,94939,,,37.941181465625,-122.525917728125,", larkspur, california, 94939, united states","us, united states, california, larkspur, 94939, , , 37.941181465625, -122.525917728125","hotel healdsburg h2 hotel & harmon guest house is a hotel based in larkspur, california, united states.","sonoma county's premier luxury wine country lodging on healdsburg's historic town plaza. located in the heart of north sonoma wine country, hotel healdsburg is the ideal venue for a romantic weekend, celebration or company meeting. a resort unto itself, the hotel healdsburg offers a full service spa, pool, country gardens, and charlie palmer's dry creek kitchen. you're just steps from world class shopping and dining on the healdsburg plaza. there's the majestic russian river for water sports and the renowned alexander, dry creek and russian river wine valleys, home to some of california's most celebrated vineyards, all close by for you to explore.",hospitality & hotels | dry creek | country gardens | water sports | russian river | pools & spa | hotel,consumer services,accommodation,accommodation & food services,+17074312800,+17074312800,,,,,hotelhealdsburg.com,,hotelhealdsburg,hotelhealdsburg,hotelhealdsburg/,company/hotel-healdsburg-and-h2-hotel,,,,"hotel healdsburg is a premier luxury wine country lodging located on healdburg's historic town plaza in sonoma county. situated in the heart of north sonoma wine country, it is an ideal venue for a romantic weekend, celebration, or company meeting. the hotel offers a full-service spa, pool, country gardens, and charlie palmer's dry creek kitchen. it is conveniently located near world-class shopping and dining on the healdanga plaza, as well as the russian river for water sports and the alexander, dry creek, and russian river wine valleys, known for their celebrated vineyards.",accommodation services | charlie palmer’s dry creek kitchen | wine country lodging options | country gardens | spa and wellness services | swimming pools,,13824
the spa hotel healdsburg,,the spa hotel healdsburg,us,california,,healdsburg,95448,healdsburg avenue,327,38.6107173,-122.8713083,"327 healdsburg ave, healdsburg, ca 95448","us, united states, california, healdsburg, 95448, healdsburg avenue, 327, 38.6107173, -122.8713083","the spa hotel healdsburg is a spa & wellness center based in healdsburg, california, united states.",,,consumer services,recreational sports centers,"arts, entertainment & recreation",+17074334747,+17074334747,,,,spa,hotelhealdsburg.com,,,,,,,,,"the spa hotel healdsburg is a business located in healdsburg, california, united states. it operates as a spa, facial spa, and massage spa.",spa and wellness services | accessibility & parking | massage services | wheelchair accessible entrance | tailored facials,,16707
hotel healdsburg,,hotel healdsburg,us,california,,healdsburg,95448,matheson street,25,38.61027930306156,-122.87125495404783,"25 matheson st, healdsburg, california, 95448-4107, united states","us, united states, california, healdsburg, 95448, matheson street, 25, 38.61027930306156, -122.87125495404783","hotel healdsburg is a hotel based in healdsburg, california, united states.","hotel healdsburg is a california-based hospitality company that operates hotels offering services such as lodging, spa, dining, and event management.",event management,consumer services,accommodation,accommodation & food services,+17074312800,+17074312800,,,,,,,hotelhealdsburg,hotelhealdsburg,hotelhealdsburg/,,,,,"hotel healdsburg is a california-based hospitality company that specializes in operating hotels. they provide a range of services including lodging, spa treatments, dining options, and event management.",spa services | dining services | h accommodation services | event organization services,,17012
hotel healdsburg,,hotel healdsburg,us,california,,healdsburg,95448,matheson street,25,38.6103819,-122.87140749999999,"25 matheson st, healdsburg, ca 95448, united states","us, united states, california, healdsburg, 95448, matheson street, 25, 38.6103819, -122.87140749999999","hotel healdsburg is a hotel based in healdsburg, california, united states.","a luxe beauty spa & upscale rooms and suites with a hip vibe, plus free breakfast & parking.",,consumer services,accommodation,accommodation & food services,+17074312800,+17074312800,,,,,hotelhealdsburg.com,,,,,,,,,"the hotel healdsburg is a hotel and spa located in healdsburg, california, united states. it offers upscale rooms and suites with a hip vibe, and provides amenities such as free breakfast and parking.",hotel and spa services | free breakfast | spa treatments | upscale rooms | hip vibe | parking facilities,,17065
hotel healdsburg,,hotel healdsburg,us,california,,healdsburg,95448,matheson street,25,38.61027930306156,-122.87125495404783,"25 matheson st, healdsburg, california, 95448-4107, united states","us, united states, california, healdsburg, 95448, matheson street, 25, 38.61027930306156, -122.87125495404783","hotel healdsburg is a hotel based in healdsburg, california, united states.","hotel healdsburg is a california-based hospitality company that operates hotels offering services such as lodging, spa, dining, and event management.",event management,consumer services,accommodation,accommodation & food services,+17074312800,+17074312800,,,,,,,hotelhealdsburg,hotelhealdsburg,hotelhealdsburg/,,,,,"hotel healdsburg is a california-based hospitality company that specializes in operating hotels. they provide a range of services including lodging, spa treatments, dining options, and event management.",h accommodation services | spa services | event organization services | dining services,,17482
hotel healdsburg,piazza hospitality llc.,hotel healdsburg,us,california,,healdsburg,95448,matheson street,25,38.61027930306156,-122.87125495404783,"25 matheson street
healdsburg, ca 95448","us, united states, california, healdsburg, 95448, matheson street, 25, 38.61027930306156, -122.87125495404783","hotel healdsburg is a hotel based in healdsburg, california, united states.","let our experienced staff customize a sonoma spa experience. settle into your room with a bottle of sparkling wine, charcuterie, and cheeses followed by a five-course tasting menu with sonoma county wines at dry creek kitchen. enjoy some of the region's most exclusive wines, along with an expertly paired tasting menu for two. dry creek kitchen mixes vibrant american cooking and world class bottlings with the intimate charm of a small town and true wine country hospitality. inspired by healdsburg's sophisticated agrarian sensibility, the spa hotel healdsburg offers treatments that weave together professional expertise with a sense of place.",dry creek | guest rooms | sonoma valley | luxury hotel | country gardens | spa reservations | wine library | room & suite | spa and pool | body treats | double queen | spa retreat | spa products | luxury accommodation | wine dinners | spa experiences | sparkling wine | guest houses | olive grove | lobby lounge | luxury spa | fishing season | facials | farm to table | weddings and celebrations | event spaces | executive board meetings | groups & activities | appetizers | small bites | grilled meat | cocktail glass | casual restaurants | tasting menu | california wines,consumer services,accommodation,accommodation & food services,+17074334747,+17079225263 | +17079225241 | +17079225233 | +17074310330 | +17079225256 | +17074312800 | +17074334747 | +17074318221,frontdesk@hotelhealdsburg.com,frontdesk@hotelhealdsburg.com | events@hotelhealdsburg.com,jason@hotelhealdsburg.com | thespa@hotelhealdsburg.com | dck@hotelhealdsburg.com,,hotelhealdsburg.com,en,hotelhealdsburg/,hotelhealdsburg,hotelhealdsburg/,,,,,"hotel healdsburg is a premier northern california hotel located in sonoma, california. situated in the heart of wine country and near napa valley, the hotel offers a range of amenities including a full-service spa, a pool, country gardens, and dining options at charlie palmer's dry creek kitchen. the hotel features newly renovated guest rooms, various event spaces, and a stylish fireplace lobby lounge. it is known for its tranquil oasis amidst the bustling town and its commitment to providing a luxurious and serene stay.",renovated guest rooms | personal chef services | country gardens | spa treatments | double queen | junior suite with balcony | massage services | accommodation services | premier king | plaza suite | wellness treatments | pool services | body treatments | olive grove | tranquil oasis | sonoma king | charlie palmer’s dry creek kitchen,hotelhealdsburg.com,22090
hotel healdsburg,,hotel healdsburg,us,california,,healdsburg,95448,matheson street,25,38.61027930306156,-122.87125495404783,"25 matheson st, healdsburg, california, 95448-4107, united states","us, united states, california, healdsburg, 95448, matheson street, 25, 38.61027930306156, -122.87125495404783","hotel healdsburg is a hotel based in healdsburg, california, united states.","hotel healdsburg is a california-based hospitality company that operates hotels offering services such as lodging, spa, dining, and event management.",event management,consumer services,accommodation,accommodation & food services,+17074312800,+17074312800,,,,,,,hotelhealdsburg,hotelhealdsburg,hotelhealdsburg/,,,,,"hotel healdsburg is a california-based hospitality company that specializes in operating hotels. they provide a range of services including lodging, spa treatments, dining options, and event management.",event organization services | dining services | spa services | h accommodation services,,26515
hotel healdsburg,,hotel healdsburg,us,california,,healdsburg,95448,matheson street,25,38.61027930306156,-122.87125495404783,"25 matheson st, healdsburg, ca, united states, california","us, united states, california, healdsburg, 95448, matheson street, 25, 38.61027930306156, -122.87125495404783","hotel healdsburg is a bed and breakfast based in healdsburg, california, united states.","we invite you to stay with us and enjoy some of the world's finest vineyards, restaurants and shops within minutes of the front steps.",shopping & restaurants,consumer services,accommodation,accommodation & food services,+17074312800,+17074312800,frontoffice@hotelhealdsburg.com,,,,hotelhealdsburg.com,,HotelHealdsburg/,,,,,,,"the company invites visitors to stay and explore nearby vineyards, restaurants, and shops.",dining establishments | restaurants and vineyards | retail store | hospitality services,,30164
hotel healdsburg,,hotel healdsburg,us,california,,larkspur,,,,37.9340915,-122.5352539,", larkspur, california, united states","us, united states, california, larkspur, , , , 37.9340915, -122.5352539","hotel healdsburg is a hotel based in larkspur, california, united states.","hotel healdsburg is a california-based hospitality company that operates hotels offering services such as lodging, spa, dining, and event management.",leisure & tourism | event management | hospitality,consumer services,accommodation,accommodation & food services,+17074312800,+17074312800,,,,,,,hotelhealdsburg,hotelhealdsburg,hotelhealdsburg/,company/hotel-healdsburg,,,,"hotel healdsburg is a california-based hospitality company that specializes in operating hotels. they provide a range of services including lodging, spa treatments, dining options, and event management.",event organization services | h accommodation services | dining services | spa services,,31851
